Iteration	Posterior	Likelihood	Prior	b_long	b_med	b_short	height_bg	height_mol	root_age
146	-126893.3	-127841.6	948.295	0.01415819	0.07748302	0.9083588	1.1757	0.3893044	71.5104
147	-126882.7	-127830.7	948.0116	0.01466833	0.1015722	0.8837594	1.168711	0.3935389	88.61587
148	-126859.3	-127808.4	949.1041	0.004320004	0.1042176	0.8914624	1.18926	0.3879689	59.39582
149	-126857.7	-127807.1	949.4878	0.002308276	0.07111846	0.9265733	1.237826	0.3971592	41.17414
150	-126833.2	-127782.5	949.3446	0.002827132	0.1008223	0.8963505	1.284193	0.394073	45.06406
151	-126836.1	-127782.8	946.7594	0.009918763	0.1454615	0.8446198	1.275285	0.3978121	93.94754
152	-126869.8	-127818	948.1901	0.002708338	0.1338852	0.8634064	1.32126	0.3994733	64.64037
153	-126891	-127838.8	947.803	0.01503775	0.1079267	0.8770356	1.219984	0.4012778	85.40104
154	-126865	-127814.5	949.4727	0.003351586	0.07859907	0.9180493	1.259045	0.405288	42.36862
155	-126884.6	-127833.9	949.2924	0.004785041	0.09074719	0.9044678	1.251448	0.4028426	86.89836
156	-126868.2	-127817.9	949.6773	0.001190711	0.07557003	0.9232393	1.213369	0.4148431	42.72566
157	-126858.2	-127805.9	947.724	0.01486013	0.05823256	0.9269073	1.156679	0.400243	70.5791
158	-126838.5	-127787.8	949.3118	0.0005111802	0.05964124	0.9398476	1.161301	0.3947966	55.64935
159	-126867.7	-127816.8	949.133	0.0007382173	0.1165052	0.8827566	1.412787	0.3984934	63.88457
160	-126866.4	-127815.5	949.0921	0.006936245	0.08575001	0.9073137	1.203556	0.3966946	52.69424
161	-126875.6	-127820.1	944.4649	0.005740659	0.1880482	0.8062112	1.190542	0.3934956	118.1517
162	-126865.8	-127813.6	947.785	0.01893624	0.07949218	0.9015716	1.297094	0.3924731	56.47808
163	-126869.4	-127816.8	947.3478	0.01889955	0.05939466	0.9217058	1.219257	0.4008564	56.16048
164	-126877.8	-127826.8	948.9664	0.007183911	0.09545234	0.8973637	1.199681	0.3944203	72.79726
165	-126918.8	-127868	949.1823	0.001269556	0.05851151	0.9402189	1.246864	0.3860719	100.0582
166	-126911.6	-127861.2	949.5601	0.002555586	0.08803715	0.9094073	1.280929	0.3966194	88.07065
167	-126924.7	-127870.5	945.8419	0.006608787	0.1670599	0.8263314	1.386341	0.3896214	64.2929
168	-126913.1	-127861.3	948.2471	0.005865686	0.05093181	0.9432025	1.229733	0.3883677	40.41791
169	-126920.3	-127868.1	947.887	0.003126283	0.1391626	0.8577111	1.234033	0.3897258	58.75784
170	-126942.3	-127891.7	949.3688	0.00279563	0.06795575	0.9292486	1.248368	0.3864486	99.85184
171	-126924.6	-127871.7	947.0786	0.02210762	0.1054181	0.8724743	1.309636	0.3777912	75.48262
172	-126936.3	-127886	949.7143	0.001094873	0.08924982	0.9096553	1.351419	0.3824727	48.4882
173	-126922.7	-127871.9	949.2038	0.004142389	0.06707655	0.9287811	1.207066	0.3802418	46.92704
174	-126918.3	-127867.8	949.4737	0.002398851	0.07042415	0.927177	1.355057	0.3778153	65.36158
175	-126911.7	-127858.6	946.9417	0.005294848	0.1519183	0.8427869	1.166797	0.3783045	72.02903
176	-126932	-127880.9	948.8782	0.003097802	0.1163784	0.8805238	1.336988	0.3877244	72.21527
177	-126916.7	-127865.2	948.477	0.005501031	0.0537475	0.9407515	1.319367	0.3826145	43.0041
178	-126953	-127901.4	948.3579	0.0128196	0.09471339	0.892467	1.335455	0.3872799	67.74321
179	-126967	-127916	949.0099	0.007768794	0.08441775	0.9078135	1.290268	0.3867322	78.59743
180	-126997.9	-127946	948.1274	0.01442316	0.09767659	0.8879002	1.294695	0.3880589	46.51408
181	-126910.8	-127858.1	947.3547	0.005176961	0.1447429	0.8500802	1.307845	0.3920006	87.06684
182	-126913.1	-127862.3	949.2026	0.005773568	0.07718488	0.9170415	1.28951	0.3865049	76.61489
183	-126930.6	-127878.7	948.0171	0.01170882	0.1131	0.8751912	1.383039	0.3896534	83.19935
184	-126885.6	-127834.7	949.1115	0.006182892	0.07332284	0.9204943	1.171767	0.3972589	66.31245
185	-126899.9	-127848.9	949.0469	0.00671346	0.07287407	0.9204125	1.291865	0.3860838	55.25451
186	-126901	-127847.2	946.1885	0.02795131	0.05565084	0.9163979	1.246843	0.380787	57.35383
187	-126884.6	-127834	949.3549	0.001713587	0.1056635	0.892623	1.353537	0.3959615	50.8288
188	-126847.2	-127796.3	949.0663	0.0003066125	0.05459658	0.9450968	1.210224	0.3882466	53.40393
189	-126824.3	-127772.7	948.4631	0.009029887	0.06091069	0.9300594	1.322956	0.382844	48.97666
190	-126833.5	-127782.8	949.2973	0.001029339	0.0605708	0.9383999	1.330716	0.3850897	66.11689
191	-126894.8	-127843.9	949.113	0.006718391	0.08681991	0.9064617	1.250864	0.3827282	109.4019
192	-126909.4	-127856.2	946.8183	0.0008093712	0.1626004	0.8365902	1.254394	0.3841002	53.94452
193	-126900.2	-127849.5	949.2526	0.004194819	0.06939547	0.9264097	1.345131	0.3754095	82.17986
194	-126909.8	-127858.8	948.9944	0.007013601	0.09499853	0.8979879	1.231647	0.3750269	81.14242
195	-126882.8	-127831.8	949.042	0.001141651	0.05561001	0.9432483	1.232277	0.3752184	104.8311
196	-126894.1	-127842.8	948.6761	0.01039844	0.07468942	0.9149121	1.252834	0.3802524	54.76792
