Iteration	Posterior	Likelihood	Prior	b_long	b_med	b_short	height_bg	height_mol	root_age
234	-126345.8	-127293.9	948.1674	0.01699293	0.07962745	0.9033796	1.262551	0.5439535	96.37133
235	-126343.8	-127293.6	949.8106	0.003773643	0.07514131	0.921085	1.324264	0.5545983	100.9608
236	-126322.5	-127271	948.481	0.01905894	0.07125964	0.9096814	1.423617	0.5534075	127.5198
237	-126309.1	-127256.9	947.7535	0.007368556	0.1314862	0.8611453	1.392212	0.5600484	146.6051
238	-126327.6	-127275.5	947.8441	0.002877708	0.1074297	0.8896926	1.369614	0.5526321	78.01146
239	-126338.6	-127284.4	945.7386	0.009309861	0.1101331	0.8805571	1.229203	0.563992	67.00276
240	-126348.7	-127295.3	946.6469	0.02672863	0.05940804	0.9138633	1.273127	0.5569455	95.92298
241	-126362.4	-127306.3	943.897	0.01682962	0.09917972	0.8839907	1.453839	0.5612693	58.03746
242	-126345.1	-127294.7	949.5157	0.01089287	0.07752227	0.9115849	1.450356	0.5421997	122.1928
243	-126333.7	-127283.5	949.8378	0.007105945	0.07109836	0.9217957	1.257087	0.5514372	122.2924
244	-126330.2	-127279.1	948.8727	0.01476816	0.07565239	0.9095795	1.249655	0.5484762	132.9678
245	-126349	-127294.2	945.1373	0.02018178	0.1375069	0.8423113	1.115865	0.5480815	82.95468
246	-126346	-127296.2	950.1482	0.001303806	0.1090791	0.8896171	1.19617	0.5478439	115.2078
247	-126355.3	-127305.3	950.0552	7.698331e-05	0.1118421	0.8880809	1.269785	0.5455691	108.0902
248	-126336.1	-127286.6	950.5307	7.142976e-05	0.1002079	0.8997207	1.433998	0.5480531	118.9238
249	-126340.1	-127290.5	950.4357	0.0001269569	0.09324982	0.9066232	1.288166	0.5307046	107.1093
250	-126362.9	-127312.6	949.612	0.009848213	0.07944772	0.9107041	1.411901	0.5413932	125.0903
251	-126334.9	-127283.8	948.8953	0.00773082	0.1044523	0.8878169	1.176886	0.5355818	96.42919
252	-126342.1	-127291	948.9774	0.01368353	0.1019163	0.8844002	1.138474	0.5447077	117.383
253	-126349.5	-127297.1	947.6225	0.01713305	0.08031855	0.9025484	1.221739	0.5557859	88.65367
254	-126316	-127262.2	946.1595	0.006289803	0.03782689	0.9558833	1.253601	0.5422471	84.22462
255	-126332	-127278.7	946.7066	0.008982966	0.09622326	0.8947938	1.467793	0.546624	71.70472
256	-126321.9	-127271.4	949.4976	0.00985345	0.0689448	0.9212017	1.388163	0.5638619	121.7163
257	-126324.6	-127271.4	946.8151	0.0009222421	0.08478181	0.9142959	1.411846	0.5540292	64.83294
258	-126333.8	-127280	946.1943	0.0009277156	0.1564361	0.8426362	1.251536	0.5397512	81.44291
259	-126345.1	-127294.3	949.2315	0.01129892	0.07161165	0.9170894	1.267213	0.5345051	131.7215
260	-126304.9	-127254.9	950.0129	0.005502408	0.08766703	0.9068306	1.192325	0.5338196	111.2592
261	-126312.5	-127260.4	947.9077	0.002422985	0.09888944	0.8986876	1.225049	0.5333277	76.23447
262	-126333.5	-127281.7	948.223	0.004819018	0.06581998	0.929361	1.221881	0.5290181	82.72629
