Iteration	Posterior	Likelihood	Prior	b_long	b_med	b_short	height_bg	height_mol	root_age
213	-126820.4	-127762.1	941.7455	1	0	0	1.348544	0.4649786	236.4142
214	-126804.1	-127745.8	941.7456	1	0	0	1.257059	0.4566421	200.3623
215	-126812	-127753.8	941.7456	1	0	0	1.354267	0.4579563	104.7791
216	-126836.5	-127778.3	941.7444	1	0	0	1.238333	0.466233	76.03493
217	-126875.6	-127817.3	941.7462	1	0	0	1.277131	0.46261	214.8063
218	-126832.7	-127774.4	941.7444	1	0	0	1.269628	0.4707507	52.74513
219	-126856.7	-127798.5	941.7444	1	0	0	1.366312	0.4675137	115.801
220	-126844.3	-127786.1	941.7425	1	0	0	1.195179	0.4654954	211.271
221	-126856.4	-127798.1	941.7436	1	0	0	1.38438	0.4612985	170.729
222	-126832.2	-127774	941.7426	1	0	0	1.176833	0.4573647	126.1433
223	-126871.2	-127813	941.7428	1	0	0	1.295791	0.4673213	152.8482
224	-126856.8	-127798.5	941.7445	1	0	0	1.163388	0.4553977	81.09099
225	-126865.9	-127807.6	941.7438	1	0	0	1.352627	0.4604591	141.5785
226	-126860.2	-127801.9	941.7444	1	0	0	1.363618	0.4642007	160.1412
227	-126845.2	-127786.9	941.7448	1	0	0	1.427838	0.4732628	156.2714
228	-126844.5	-127786.2	941.7446	1	0	0	1.404351	0.4654781	60.66684
229	-126872.1	-127813.8	941.7446	1	0	0	1.154719	0.4743542	160.1421
230	-126856.2	-127797.9	941.7456	1	0	0	1.257703	0.4617564	184.1886
231	-126825.8	-127767.5	941.7436	1	0	0	1.369981	0.466144	21.20437
232	-126833	-127774.7	941.745	1	0	0	1.241275	0.4751027	1.608235
233	-126855	-127796.7	941.7447	1	0	0	1.230499	0.470978	6.154553
234	-126846.4	-127788.2	941.7469	1	0	0	1.182753	0.4704404	14.68443
235	-126835.2	-127777	941.7479	1	0	0	1.136157	0.4555476	69.71099
236	-126838.8	-127780.6	941.745	1	0	0	1.305775	0.4660422	71.0571
237	-126874.4	-127816.2	941.7461	1	0	0	1.367489	0.4643162	182.6418
238	-126824	-127765.7	941.7442	1	0	0	1.422507	0.4746317	153.2798
239	-126827.7	-127769.5	941.7443	1	0	0	1.412919	0.4714325	86.82408
240	-126796.4	-127738.1	941.7432	1	0	0	1.199916	0.4726139	22.97423
