Iteration	Replicate_ID	Posterior	Likelihood	Prior	extinction[1]	extinction[2]	extinction[3]	extinction[4]	extinction[5]	extinction[6]	extinction_alpha[1]	extinction_alpha[2]	extinction_alpha[3]	extinction_beta	hidden_rate	Q[1]	Q[2]	Q[3]	Q[4]	Q[5]	Q[6]	R[1]	R[2]	rate_01	rate_10	rate_12	rate_21	rate_category_prior[1]	rate_category_prior[2]	rate_category_prior[3]	rate_category_prior[4]	rate_category_prior[5]	rate_category_prior[6]	speciation[1]	speciation[2]	speciation[3]	speciation[4]	speciation[5]	speciation[6]	speciation_alpha[1]	speciation_alpha[2]	speciation_alpha[3]	speciation_beta
34	0	20.59837	0	20.59837	0.0021689	0.0115857	1.19487	0.00356631	0.0190504	1.96471	-6.13353	-4.45798	0.178035	0.4973124	0.0001344635	0.000230075	0.000472189	0	0	0.000376075	0.000605225	0.000134463	0.000134463	0.0002300754	0.0004721894	0.0003760746	0.0006052248	0.208672	0.0442101	0.332837	0.23672	0.0222808	0.155281	0.000736972	0.0102178	0.196792	0.00504042	0.0698831	1.34593	-7.21296	-4.58363	-1.62561	1.922694
35	1	25.5022	0	25.5022	0.15067	0.249044	0.0447414	0.0771503	0.127522	0.0229097	-1.89266	-1.39013	-3.10686	-0.6693382	0.0001180602	0.000544825	0.000167187	0	0	0.000669318	0.000275657	0.00011806	0.00011806	0.0005448248	0.0001671868	0.0006693176	0.0002756568	0.141958	0.0445679	0.245488	0.00716449	0.0706683	0.490153	0.0382163	0.142153	0.00132875	0.0713201	0.26529	0.00247975	-3.26449	-1.95085	-6.62352	0.6239177
36	0	20.72339	0	20.72339	0.112779	0.335755	1.64827	0.120409	0.358471	1.75978	-2.18232	-1.09137	0.499725	0.06546563	7.849783e-05	0.00125393	0.000134306	0	0	0.00132944	0.000109203	7.84978e-05	7.84978e-05	0.001253934	0.000134306	0.001329437	0.0001092034	0.286137	0.10994	0.0491351	0.208	0.0223238	0.324464	0.966368	0.0366075	1.92242	4.55932	0.172714	9.06995	-0.0342109	-3.3075	0.653583	1.551384
37	1	19.36209	0	19.36209	0.0156691	0.0258603	0.0777633	0.0180486	0.0297875	0.0895725	-4.15607	-3.65504	-2.55409	0.1413793	0.0004517561	0.000379879	0.000535205	0	0	0.00271168	0.000411768	0.000451756	0.000451756	0.0003798786	0.0005352045	0.002711685	0.0004117684	0.138593	0.0787536	0.38454	0.00417585	0.133178	0.260759	1.99435	0.955356	0.0348858	5.27753	2.52811	0.0923164	0.690317	-0.0456708	-3.35567	0.9731415
38	0	20.92959	0	20.92959	0.815185	0.445309	0.00323361	0.977522	0.533989	0.00387756	-0.204341	-0.808987	-5.73416	0.1816067	0.0009981312	0.000564863	0.00121909	0	0	5.97146e-05	0.000363159	0.000998131	0.000998131	0.0005648629	0.001219088	5.971457e-05	0.000363159	0.232295	0.0371177	0.2044	0.385343	0.0170079	0.123837	0.065093	0.0154479	0.984205	0.224301	0.0532311	3.39142	-2.73194	-4.17028	-0.0159215	1.237171
39	1	23.86693	0	23.86693	0.127322	0.0721531	0.569421	0.0543821	0.0308182	0.243212	-2.06103	-2.62896	-0.563136	-0.8506868	0.001104411	0.000235528	0.000152879	0	0	0.0005148	0.0012333	0.00110441	0.00110441	0.0002355279	0.0001528787	0.0005148005	0.001233305	0.100604	0.0868871	0.610609	0.00663081	0.180471	0.014798	0.00915332	0.0974513	0.107411	0.0120296	0.128074	0.141163	-4.69364	-2.3284	-2.23109	0.2732518
40	0	21.24549	0	21.24549	4.3394	0.0602152	0.0101121	13.0867	0.181596	0.0304961	1.46774	-2.80983	-4.59402	1.103862	0.0003322375	0.000677343	0.000656786	0	0	0.000212531	0.000246613	0.000332237	0.000332237	0.000677343	0.0006567861	0.000212531	0.0002466135	0.0499506	0.099998	0.488299	0.229697	0.0290683	0.102987	0.68548	0.049259	0.479758	6.51494	0.468168	4.55972	-0.377637	-3.01066	-0.734473	2.251735
41	1	25.17002	0	25.17002	0.174537	0.0024911	0.0113332	1.11746	0.0159491	0.0725601	-1.74562	-5.99503	-4.48002	1.85668	0.0002729278	4.57623e-05	0.00038306	0	0	5.88399e-05	0.000490635	0.000272928	0.000272928	4.576226e-05	0.0003830601	5.883986e-05	0.0004906347	0.144025	0.54272	0.0309186	0.0329807	0.232982	0.0163736	0.0147587	0.0739384	0.00589476	0.0154517	0.0774102	0.00617156	-4.21592	-2.60452	-5.13369	0.04588724
42	0	24.80893	0	24.80893	0.197864	0.0355196	0.095981	0.159579	0.0286469	0.0774096	-1.62018	-3.33767	-2.34361	-0.2150394	0.0009104403	4.32985e-05	0.000238537	0	0	2.38272e-05	0.00173064	0.00091044	0.00091044	4.329848e-05	0.0002385367	2.382723e-05	0.001730641	0.10623	0.162213	0.525441	0.0838593	0.0133389	0.108918	0.216806	0.0120072	0.0431474	0.426296	0.0236092	0.0848387	-1.52875	-4.42225	-3.14313	0.6761306
43	1	27.11612	0	27.11612	0.00828002	0.45709	0.0379056	0.00365086	0.201542	0.0167135	-4.79391	-0.782875	-3.27266	-0.8188817	0.0002047307	0.000390331	0.000142395	0	0	0.000373237	5.22696e-05	0.000204731	0.000204731	0.0003903308	0.0001423948	0.0003732368	5.226957e-05	0.105298	0.247	0.292273	0.0344839	0.0878995	0.233045	0.313882	0.0597456	0.461947	0.594352	0.113132	0.87472	-1.15874	-2.81766	-0.772306	0.6384551
44	0	24.95471	0	24.95471	0.258614	2.0785	0.0750895	0.230476	1.85235	0.0669194	-1.35242	0.731648	-2.58907	-0.1151922	0.0003299432	0.00114882	0.00039719	0	0	0.000201834	0.000120909	0.000329943	0.000329943	0.00114882	0.0003971898	0.000201834	0.0001209091	0.0300002	0.625127	0.116591	0.117716	0.0142458	0.0963203	0.21724	0.323549	0.492413	0.233263	0.347413	0.528731	-1.52675	-1.1284	-0.708438	0.07116293
45	1	22.72892	0	22.72892	0.00838679	0.00534557	13.643	0.00493077	0.00314277	8.02103	-4.7811	-5.23149	2.61323	-0.5311632	0.0002746944	0.000261483	0.000569865	0	0	0.000343187	0.000236176	0.000274694	0.000274694	0.0002614831	0.0005698645	0.0003431866	0.0002361763	0.10815	0.145614	0.392601	0.0226964	0.073655	0.257283	0.227289	0.247041	0.0556756	0.451538	0.490777	0.110606	-1.48153	-1.3982	-2.88821	0.6864347
46	0	25.90126	0	25.90126	0.0950955	0.245653	0.0159385	0.0161142	0.0416265	0.00270082	-2.35287	-1.40383	-4.13902	-1.775183	6.760223e-05	0.000118212	0.000119358	0	0	0.000185917	9.56331e-05	6.76022e-05	6.76022e-05	0.0001182121	0.0001193577	0.0001859167	9.563311e-05	0.00223568	0.187376	0.357291	0.0116333	0.252101	0.189363	0.0029489	0.323762	1.89931	0.00359499	0.394697	2.31544	-5.82632	-1.12775	0.64149	0.1981097
47	1	25.30584	0	25.30584	1.58412	0.197896	0.0350778	0.261764	0.032701	0.00579636	0.460027	-1.62001	-3.35019	-1.800339	0.000111862	0.000212195	9.77981e-05	0	0	0.000622682	0.000541778	0.000111862	0.000111862	0.0002121953	9.779814e-05	0.000622682	0.0005417782	0.0503069	0.321855	0.205733	0.0212105	0.0265138	0.374381	0.0891428	0.46752	0.0834919	0.102551	0.537842	0.0960504	-2.41752	-0.760313	-2.48301	0.1401231
48	0	24.20342	0	24.20342	0.0820534	0.0438503	0.0862684	0.220472	0.117823	0.231798	-2.50038	-3.12697	-2.45029	0.9884014	0.0002597397	0.000247229	9.55827e-05	0	0	0.000333278	0.00120494	0.00025974	0.00025974	0.0002472295	9.558271e-05	0.0003332784	0.001204943	0.032243	0.100363	0.190897	0.133502	0.110287	0.432708	0.0119922	1.17423	0.0295553	0.0671223	6.57241	0.165426	-4.4235	0.160617	-3.52149	1.722263
49	1	23.15163	0	23.15163	0.0618469	0.00227227	0.222464	0.0663161	0.00243648	0.23854	-2.78309	-6.08697	-1.50299	0.0697715	0.000466706	3.33822e-05	0.00130777	0	0	0.000153211	0.000937511	0.000466706	0.000466706	3.33822e-05	0.00130777	0.0001532111	0.0009375112	0.0172569	0.0953473	0.16643	0.197825	0.288465	0.234676	1.60427	0.0371212	0.119305	2.08643	0.0482778	0.155162	0.472672	-3.29357	-2.12607	0.2627826
50	0	24.14353	0	24.14353	0.0957491	0.00553035	0.000916011	0.133991	0.00773913	0.00128186	-2.34602	-5.1975	-6.99548	0.3360388	0.0004333837	2.05933e-05	0.000431817	0	0	0.00011417	0.000625126	0.000433384	0.000433384	2.059329e-05	0.0004318172	0.0001141697	0.0006251256	0.0882429	0.315638	0.124395	0.022218	0.0508367	0.398669	0.225401	0.0599851	0.788163	0.488034	0.129879	1.70651	-1.48987	-2.81366	-0.238051	0.7725032
51	1	24.04207	0	24.04207	0.0375728	0.519403	0.0942524	0.0883118	1.22082	0.221533	-3.28148	-0.655074	-2.36178	0.8545948	0.0003504069	6.85267e-05	0.000664207	0	0	0.000495053	0.000232891	0.000350407	0.000350407	6.852669e-05	0.0006642072	0.0004950528	0.0002328907	0.36379	0.051218	0.0251598	0.143851	0.389418	0.0265638	0.00337256	0.213849	0.001466	0.00581646	0.368814	0.00252833	-5.69208	-1.54248	-6.52522	0.5450205
52	0	25.66659	0	25.66659	0.0352867	0.359433	0.0982639	0.139577	1.42174	0.388683	-3.34425	-1.02323	-2.3201	1.375108	0.0002952042	9.11479e-05	0.000347322	0	0	0.000362454	0.00034571	0.000295204	0.000295204	9.11479e-05	0.000347322	0.0003624543	0.0003457097	0.200912	0.0666119	0.131126	0.274057	0.273807	0.053487	0.319393	2.48847	0.0341872	0.418961	3.26423	0.0448448	-1.14133	0.911669	-3.3759	0.2713562
