Iteration	Posterior	Likelihood	Prior	extinction[1]	extinction[2]	extinction[3]	extinction[4]	extinction[5]	extinction[6]	extinction_alpha[1]	extinction_alpha[2]	extinction_alpha[3]	extinction_beta	hidden_rate	Q[1]	Q[2]	Q[3]	Q[4]	Q[5]	Q[6]	R[1]	R[2]	rate_01	rate_10	rate_12	rate_21	rate_category_prior[1]	rate_category_prior[2]	rate_category_prior[3]	rate_category_prior[4]	rate_category_prior[5]	rate_category_prior[6]	speciation[1]	speciation[2]	speciation[3]	speciation[4]	speciation[5]	speciation[6]	speciation_alpha[1]	speciation_alpha[2]	speciation_alpha[3]	speciation_beta
340	20.62989	0	20.62989	0.0175069	0.063059	0.00146864	0.0120456	0.0433875	0.00101049	-4.04516	-2.76368	-6.52342	-0.3738987	0.001451455	0.0011137	9.43223e-05	0	0	0.00160353	0.000126768	0.00145146	0.00145146	0.001113705	9.432234e-05	0.001603526	0.000126768	0.152821	0.00910675	0.312508	0.313558	0.205813	0.00619277	0.143129	0.200101	0.0215862	0.183916	0.257123	0.0277375	-1.94401	-1.60893	-3.8357	0.2507305
350	20.87685	0	20.87685	0.0729427	0.950081	0.0206859	0.168002	2.18823	0.0476439	-2.61808	-0.0512077	-3.8783	0.8343025	0.0009304374	0.000821187	5.60097e-05	0	0	0.000133354	0.000408144	0.000930437	0.000930437	0.0008211874	5.600966e-05	0.0001333541	0.0004081439	0.384709	0.0594449	0.481147	0.0432169	0.00308971	0.0283929	0.181453	9.62833	0.00243865	0.332478	17.6421	0.00446837	-1.70676	2.26471	-6.01631	0.6055802
360	16.40643	0	16.40643	0.00173514	0.00638867	0.0312023	0.00739313	0.0272211	0.132948	-6.35667	-5.05323	-3.46726	1.449465	0.001639574	0.00109191	8.68383e-05	0	0	6.6643e-05	0.0022656	0.00163957	0.00163957	0.001091914	8.683829e-05	6.664297e-05	0.002265605	0.373594	0.118236	0.184446	0.148025	0.109662	0.0660367	0.016292	0.0117909	0.267359	0.0495904	0.0358896	0.813798	-4.11708	-4.44043	-1.31916	1.11312
370	24.89404	0	24.89404	0.00136098	0.201987	0.00642688	0.00211249	0.313522	0.00997572	-6.59955	-1.59955	-5.04727	0.4396647	0.0001436935	2.43823e-05	0.000141065	0	0	0.000544499	0.000868025	0.000143693	0.000143693	2.438231e-05	0.0001410647	0.0005444987	0.0008680249	0.080294	0.211272	0.429765	0.255614	0.0186576	0.00439759	0.0216912	0.759803	0.0265053	0.0240895	0.843811	0.0294359	-3.83085	-0.274697	-3.63041	0.10487
380	20.90277	0	20.90277	0.0273509	0.0823724	0.348224	0.00312583	0.00941402	0.0397971	-3.599	-2.49651	-1.05491	-2.16905	0.0005778819	0.000312326	0.00051175	0	0	0.00158278	0.000182538	0.000577882	0.000577882	0.0003123256	0.0005117504	0.001582781	0.0001825376	0.010696	0.102762	0.596206	0.249816	0.00504997	0.0354707	0.313862	0.0680619	0.0112075	1.31082	0.284254	0.0468071	-1.1588	-2.68734	-4.49117	1.429452
390	21.32172	0	21.32172	0.139667	0.211353	0.0127696	0.243803	0.368938	0.0222906	-1.96849	-1.55422	-4.36069	0.557099	0.0004400699	8.34532e-05	0.00156122	0	0	0.000544744	0.000126459	0.00044007	0.00044007	8.345319e-05	0.001561218	0.0005447438	0.0001264591	0.0042883	0.677903	0.167187	0.115965	0.0330114	0.00164557	0.00147319	0.0184121	1.20713	0.00706371	0.0882832	5.78798	-6.52033	-3.99475	0.188242	1.567542
400	24.80902	0	24.80902	0.0276406	0.14744	0.35717	0.00424853	0.0226624	0.0548991	-3.58847	-1.91434	-1.02954	-1.872713	0.0006819847	0.00114734	7.07369e-05	0	0	6.91336e-05	4.15363e-05	0.000681985	0.000681985	0.001147335	7.073691e-05	6.913357e-05	4.153634e-05	0.0657629	0.0205246	0.170646	0.662628	0.0770167	0.00342196	0.545419	0.0371247	0.0113463	0.60819	0.0413973	0.0126521	-0.606202	-3.29347	-4.47887	0.1089337
410	27.4207	0	27.4207	0.210877	0.0215742	0.0585263	1.02307	0.104668	0.283941	-1.55648	-3.83626	-2.83828	1.579291	2.94449e-05	0.000281269	0.00019223	0	0	0.000107523	0.000849566	2.94449e-05	2.94449e-05	0.000281269	0.0001922305	0.0001075229	0.0008495655	0.216828	0.0100373	0.247941	0.442438	0.0797571	0.00299936	0.0304123	0.127203	0.168744	0.0331233	0.138542	0.183786	-3.49291	-2.06197	-1.77938	0.08539067
420	24.63121	0	24.63121	0.00802455	0.0345117	0.0208014	0.0310973	0.133742	0.0806111	-4.82525	-3.36646	-3.87273	1.354615	0.0007226379	0.00011126	0.000226419	0	0	0.00118602	8.00046e-05	0.000722638	0.000722638	0.0001112601	0.000226419	0.001186019	8.000458e-05	0.246314	0.252482	0.136717	0.312735	0.031003	0.0207489	0.0106991	0.592162	0.0390767	0.0131511	0.727875	0.0480324	-4.5376	-0.523975	-3.24223	0.2063486
430	22.66992	0	22.66992	0.11105	0.00454472	0.128322	0.0315535	0.00129132	0.036461	-2.19777	-5.39379	-2.05321	-1.2583	0.001014806	3.35673e-05	0.00015062	0	0	0.000585641	8.51899e-05	0.00101481	0.00101481	3.356729e-05	0.00015062	0.0005856409	8.518987e-05	0.675064	0.141655	0.0677919	0.0346182	0.0667701	0.0141012	0.568362	0.0630475	0.796292	8.17735	0.907102	11.4567	-0.564997	-2.76387	-0.227789	2.666366
