Iteration	Posterior	Likelihood	Prior	extinction[1]	extinction[2]	extinction[3]	extinction[4]	extinction_alpha[1]	extinction_alpha[2]	extinction_beta	hidden_rate	Q[1]	Q[2]	R[1]	R[2]	rate_01	rate_10	rate_category_prior[1]	rate_category_prior[2]	rate_category_prior[3]	rate_category_prior[4]	speciation[1]	speciation[2]	speciation[3]	speciation[4]	speciation_alpha[1]	speciation_alpha[2]	speciation_beta
370	-6354.095	-6356.512	2.416775	0.00250298	0.0076787	0.00741233	0.0227397	-5.99027	-4.86931	1.085661	0.00057897	0.00189472	0.00340147	0.00057897	0.00057897	0.00189472	0.003401466	0.348161	0.271104	0.222197	0.158538	0.0492069	0.0577605	0.0725653	0.0851792	-3.01172	-2.85145	0.3884525
380	-6353.009	-6354.244	1.234585	0.00174296	0.0238047	0.000390649	0.00533532	-6.35217	-3.73787	-1.495533	0.0003483292	0.00321402	0.00249326	0.000348329	0.000348329	0.003214016	0.002493259	0.261474	0.542141	0.160392	0.0359935	0.0493066	0.060702	0.110328	0.135827	-3.0097	-2.80178	0.8054033
390	-6352.744	-6352.332	-0.4112571	0.00194434	0.029594	0.00120214	0.0182972	-6.24283	-3.52018	-0.4808219	0.001072848	0.00375342	0.00282048	0.00107285	0.00107285	0.003753423	0.002820477	0.110069	0.554941	0.27519	0.0597996	0.0460734	0.0552728	0.0647984	0.0777365	-3.07752	-2.89547	0.3410449
400	-6357.745	-6357.346	-0.3994932	0.00437784	0.00638954	0.000551772	0.000805321	-5.4312	-5.05309	-2.071176	0.001595124	0.00225507	0.00283067	0.00159512	0.00159512	0.002255071	0.002830673	0.299957	0.0463348	0.415196	0.238512	0.0444639	0.0445832	0.0595698	0.0597297	-3.11308	-3.1104	0.2924716
410	-6353.094	-6353.785	0.690951	0.0039016	0.00138575	0.0179948	0.00639132	-5.54637	-6.58151	1.528696	0.0009258218	0.00229173	0.00267904	0.000925822	0.000925822	0.002291726	0.002679042	0.370614	0.396003	0.114571	0.118812	0.045015	0.0394863	0.075353	0.0660981	-3.10076	-3.2318	0.5151872
420	-6355.227	-6351.43	-3.796885	0.00459998	0.00560183	0.0244873	0.0298205	-5.3817	-5.18466	1.672103	0.001771342	0.00248226	0.0043603	0.00177134	0.00177134	0.002482259	0.004360298	0.193493	0.528583	0.244919	0.0330048	0.0458592	0.0564104	0.0726318	0.0893428	-3.08218	-2.8751	0.4598272
430	-6358.364	-6353.918	-4.44589	0.00210899	0.0089909	0.00786153	0.0335147	-6.16155	-4.71154	1.315773	0.000760239	0.00276992	0.00518212	0.000760239	0.000760239	0.002769917	0.00518212	0.646319	0.196829	0.0891025	0.0677491	0.0451435	0.05412	0.136654	0.163827	-3.09791	-2.91655	1.107606
440	-6350.675	-6353.223	2.547436	0.00126346	0.0422407	0.0014789	0.0494431	-6.6739	-3.16437	0.1574392	0.0004434968	0.00322003	0.00243194	0.000443497	0.000443497	0.003220027	0.002431939	0.264651	0.116921	0.144993	0.473434	0.0465459	0.0692946	0.0635137	0.0945552	-3.06732	-2.66939	0.310816
450	-6353.434	-6360.307	6.873305	0.00505039	0.0367363	0.0034175	0.0248588	-5.28829	-3.30399	-0.3905561	0.0003963618	0.00208361	0.00193639	0.000396362	0.000396362	0.002083614	0.001936385	0.23464	0.294222	0.455481	0.0156574	0.045961	0.0560914	0.0723148	0.0882538	-3.07996	-2.88077	0.4532355
460	-6351.792	-6350.68	-1.111516	0.000875685	0.015456	0.000474388	0.008373	-7.0405	-4.16976	-0.6129823	0.0006234195	0.00231128	0.00434904	0.000623419	0.000623419	0.002311284	0.00434904	0.317006	0.364173	0.113057	0.205764	0.0461408	0.06716	0.0983751	0.143189	-3.07606	-2.70068	0.7570898
470	-6350.17	-6353.121	2.950799	0.00694347	0.0246547	0.0120332	0.0427271	-4.96995	-3.70279	0.5498668	0.0006688614	0.00292187	0.00274467	0.000668861	0.000668861	0.002921871	0.002744668	0.377054	0.0256209	0.251534	0.345791	0.047289	0.0612764	0.0778632	0.100894	-3.05148	-2.79236	0.4986764
480	-6351.369	-6354.398	3.029948	0.00640587	0.0183234	0.011392	0.0325858	-5.05054	-3.99958	0.5756958	0.0007610247	0.00207473	0.00328019	0.000761025	0.000761025	0.002074733	0.003280187	0.577372	0.121062	0.23369	0.0678768	0.0527639	0.0653951	0.109782	0.136063	-2.94193	-2.72731	0.7326722
490	-6352.395	-6351.038	-1.357098	0.00112945	0.0393745	0.000300971	0.0104924	-6.78603	-3.23464	-1.322468	0.0004697362	0.0031174	0.00372759	0.000469736	0.000469736	0.003117398	0.003727588	0.275098	0.136606	0.38293	0.205366	0.0465755	0.0700423	0.0978532	0.147156	-3.06668	-2.65866	0.7423939
500	-6352.203	-6350.184	-2.019351	0.00110446	0.0333002	0.000790314	0.0238285	-6.8084	-3.40219	-0.3346812	0.002178822	0.00237099	0.00367488	0.00217882	0.00217882	0.002370986	0.003674876	0.597964	0.257146	0.0214733	0.123417	0.0426496	0.0594091	0.0581075	0.0809412	-3.15474	-2.82331	0.3092761
510	-6350.591	-6352.01	1.418688	0.0019155	0.0332232	0.0013857	0.0240342	-6.25778	-3.40451	-0.3237709	0.0007466873	0.00207327	0.00393887	0.000746687	0.000746687	0.002073268	0.003938871	0.242166	0.605511	0.14392	0.00840281	0.0425328	0.0586338	0.0628412	0.0866299	-3.15748	-2.83644	0.3903342
520	-6351.315	-6351.919	0.6037185	0.00128958	0.012938	0.00118312	0.0118699	-6.65344	-4.34759	-0.08616633	0.0008651437	0.00211182	0.0038938	0.000865144	0.000865144	0.002111825	0.003893801	0.486103	0.368833	0.136503	0.00856152	0.0453404	0.0510001	0.0670621	0.0754333	-3.09356	-2.97593	0.3914208
530	-6355.001	-6355.967	0.9658513	0.00197424	0.00417915	0.000454876	0.000962899	-6.22757	-5.47765	-1.467915	0.000378484	0.00215505	0.00330578	0.000378484	0.000378484	0.002155049	0.003305778	0.218689	0.101648	0.165259	0.514404	0.0492054	0.0512389	0.11515	0.119908	-3.01175	-2.97126	0.8502291
540	-6351.815	-6355.601	3.78558	0.0141919	0.0217863	0.0347466	0.0533404	-4.25509	-3.82648	0.8954132	0.0003998289	0.00209996	0.00329128	0.000399829	0.000399829	0.002099956	0.003291276	0.219176	0.465206	0.197851	0.117767	0.0550666	0.0697601	0.127186	0.161123	-2.89921	-2.66269	0.8371054
550	-6354.773	-6358.142	3.368796	0.0117019	0.04194	0.0342183	0.12264	-4.44801	-3.17152	1.073014	0.0007109529	0.00327864	0.00200578	0.000710953	0.000710953	0.003278637	0.002005782	0.236412	0.240367	0.334877	0.188344	0.0581531	0.0834575	0.11734	0.1684	-2.84468	-2.48342	0.7020013
560	-6352.082	-6354.486	2.403742	0.00295095	0.0386236	0.00908779	0.118946	-5.82563	-3.25389	1.124806	0.0004384481	0.00254835	0.00293808	0.000438448	0.000438448	0.002548351	0.002938084	0.293595	0.586647	0.0655387	0.0542191	0.050919	0.0847367	0.126943	0.211252	-2.97752	-2.46821	0.9135051
570	-6350.365	-6352.966	2.601338	0.00343021	0.068073	0.00314559	0.0624246	-5.67513	-2.68717	-0.08662112	0.0003343481	0.00326916	0.00277276	0.000334348	0.000334348	0.003269165	0.002772763	0.277327	0.303188	0.405486	0.0139999	0.0511701	0.103742	0.0886167	0.179661	-2.9726	-2.26585	0.5491643
580	-6354.062	-6356.564	2.501719	0.00196235	0.0459018	0.00111663	0.0261194	-6.23361	-3.08125	-0.5638278	0.0004026894	0.00227639	0.00310878	0.000402689	0.000402689	0.002276393	0.003108776	0.431241	0.1955	0.358673	0.0145855	0.0501984	0.0786714	0.176226	0.276183	-2.99177	-2.54248	1.255782
