Iteration	Posterior	Likelihood	Prior	extinction[1]	extinction[2]	extinction[3]	extinction[4]	extinction[5]	extinction[6]	extinction_alpha[1]	extinction_alpha[2]	extinction_alpha[3]	extinction_beta	hidden_rate	Q[1]	Q[2]	Q[3]	Q[4]	Q[5]	Q[6]	R[1]	R[2]	rate_01	rate_02	rate_10	rate_12	rate_20	rate_21	rate_category_prior[1]	rate_category_prior[2]	rate_category_prior[3]	rate_category_prior[4]	rate_category_prior[5]	rate_category_prior[6]	speciation[1]	speciation[2]	speciation[3]	speciation[4]	speciation[5]	speciation[6]	speciation_alpha[1]	speciation_alpha[2]	speciation_alpha[3]	speciation_beta
310	-6271.968	-6271.871	-0.09723194	0.0127084	0.062751	0.00919525	0.00841238	0.0415382	0.00608683	-4.36549	-2.76858	-4.68907	-0.4125598	0.00138639	0.00908275	0.000221339	0.00831977	0.00784901	0.00144457	0.00374829	0.00138639	0.00138639	0.009082747	0.008319766	0.0002213387	0.001444568	0.007849012	0.003748289	0.339215	0.430207	0.00397858	0.140042	0.0420562	0.0445013	0.0711375	0.100002	0.102319	0.0914474	0.128552	0.131531	-2.64314	-2.30257	-2.27966	0.2511494
320	-6263.847	-6265.231	1.384838	0.00281102	0.0154244	0.0512477	0.000738792	0.00405384	0.0134689	-5.87421	-4.1718	-2.97109	-1.336288	0.0007513885	0.00811544	4.25834e-06	0.00607262	0.0105825	0.000656636	0.0034549	0.000751388	0.000751388	0.008115442	0.00607262	4.258339e-06	0.0006566365	0.01058253	0.003454904	0.487225	0.0934012	0.0138829	0.236899	0.156859	0.0117334	0.0689556	0.0635635	0.112673	0.0981008	0.0904298	0.160296	-2.67429	-2.75572	-2.18327	0.3525336
330	-6274.208	-6277.578	3.370061	0.00774537	0.084705	0.599036	0.00109095	0.0119309	0.0843754	-4.86066	-2.46858	-0.512433	-1.960046	0.0005560454	0.00899882	0.00051405	0.00634178	0.00774522	0.000174072	0.0037303	0.000556045	0.000556045	0.008998821	0.006341783	0.0005140499	0.0001740722	0.007745216	0.003730296	0.367891	0.234926	0.0180654	0.134684	0.214861	0.0295732	0.0641748	0.0717629	0.1203	0.0910018	0.101762	0.170588	-2.74614	-2.63439	-2.11777	0.3492681
340	-6264.993	-6270.327	5.333207	0.00106779	0.034174	0.0354396	0.000531781	0.0170193	0.0176496	-6.84216	-3.37629	-3.33993	-0.6971169	0.001571731	0.00742207	0.000559351	0.00543518	0.00703314	0.000235241	0.00441135	0.00157173	0.00157173	0.007422069	0.005435177	0.0005593511	0.0002352408	0.007033141	0.004411354	0.295709	0.13822	0.00154455	0.361208	0.182142	0.0211768	0.0701484	0.0777013	0.108806	0.0942995	0.104453	0.146266	-2.65714	-2.55488	-2.21819	0.2958628
350	-6268.162	-6265.104	-3.058322	0.00208827	0.0513949	0.00321807	0.001272	0.0313054	0.00196017	-6.17142	-2.96822	-5.73897	-0.4957483	0.002136949	0.00802496	6.38108e-05	0.0084338	0.00934773	0.000419952	0.00406858	0.00213695	0.00213695	0.008024958	0.008433796	6.381083e-05	0.0004199523	0.009347729	0.004068577	0.241055	0.322196	0.000311027	0.177213	0.180241	0.0789837	0.0677682	0.0729126	0.0745002	0.101397	0.109094	0.111469	-2.69166	-2.61849	-2.59695	0.4029458
360	-6269.122	-6268.726	-0.3960238	0.00107573	0.0193871	0.0176978	0.00024074	0.00433868	0.00396062	-6.83476	-3.94315	-4.03432	-1.497038	0.002142956	0.00774904	0.000337837	0.00621805	0.00988055	0.000247741	0.00334622	0.00214296	0.00214296	0.007749038	0.006218047	0.0003378366	0.0002477406	0.009880548	0.003346217	0.221937	0.282327	0.189723	0.0143464	0.147769	0.143897	0.0708087	0.0615196	0.115404	0.0976654	0.0848532	0.159175	-2.64777	-2.7884	-2.15932	0.3215665
370	-6271.493	-6276.603	5.109917	0.00140462	0.00998009	0.0282729	0.00024672	0.00175299	0.0049661	-6.56799	-4.60716	-3.56585	-1.739268	0.001145227	0.0071402	5.48693e-05	0.00580734	0.00598633	0.00250647	0.00300884	0.00114523	0.00114523	0.007140203	0.005807341	5.486929e-05	0.002506465	0.005986332	0.003008837	0.208972	0.226015	0.195089	0.0114849	0.284499	0.0739397	0.0762246	0.0671635	0.115113	0.105347	0.0928237	0.159093	-2.57407	-2.70063	-2.16184	0.3235729
380	-6272.511	-6272.214	-0.2961409	0.00493287	0.0759539	0.0409	0.00394997	0.0608196	0.0327505	-5.31183	-2.57763	-3.19662	-0.2222134	0.0001455941	0.00423559	0.000495993	0.0127068	0.00617044	0.000463955	0.00723657	0.000145594	0.000145594	0.004235592	0.0127068	0.0004959928	0.000463955	0.006170445	0.007236575	0.0403663	0.261964	0.398198	0.00173013	0.240583	0.0571578	0.075135	0.136687	0.0933514	0.286527	0.521253	0.355995	-2.58847	-1.99006	-2.37138	1.338545
390	-6276.44	-6275.37	-1.070925	0.00748079	0.0420426	0.0825157	0.0268024	0.150632	0.29564	-4.89542	-3.16907	-2.49477	1.276154	0.0001808299	0.00239608	0.00013265	0.0155125	0.00627546	0.000720102	0.0065164	0.00018083	0.00018083	0.002396083	0.01551252	0.0001326499	0.0007201019	0.00627546	0.006516397	0.541027	0.0870301	0.234607	0.0150725	0.0290448	0.0932184	0.0793484	0.124075	0.152932	0.27513	0.430211	0.530272	-2.53391	-2.08687	-1.87776	1.243394
400	-6263.831	-6261.51	-2.320914	0.00202621	0.0444616	0.0210263	0.000559498	0.0122772	0.00580601	-6.20159	-3.11313	-3.86198	-1.286882	0.001215978	0.00826375	0.000123838	0.00825932	0.00961116	9.33604e-05	0.00479593	0.00121598	0.00121598	0.008263751	0.008259321	0.0001238376	9.336037e-05	0.009611159	0.004795925	0.310378	0.0699556	0.292052	0.25847	0.035839	0.033305	0.0691495	0.0764614	0.0998048	0.091458	0.101129	0.132003	-2.67148	-2.57097	-2.30454	0.2796089
410	-6269.818	-6267.972	-1.84646	0.00301642	0.0218855	0.0941235	0.000655661	0.00475712	0.0204591	-5.80368	-3.82193	-2.36315	-1.526182	0.001865584	0.00999578	0.000196918	0.00514096	0.00923659	0.00131749	0.00431806	0.00186558	0.00186558	0.009995779	0.005140962	0.0001969175	0.001317492	0.009236589	0.004318061	0.367364	0.162745	0.0615294	0.0998907	0.212898	0.0955733	0.0733517	0.0618198	0.142127	0.0991826	0.0835897	0.192177	-2.61249	-2.78353	-1.95103	0.3016965
420	-6268.961	-6275.878	6.917085	0.000269362	0.016341	0.00519925	7.20367e-05	0.00437014	0.00139046	-8.21945	-4.11408	-5.25924	-1.318881	0.001161494	0.00620015	0.000209469	0.00679256	0.00587991	0.000230901	0.00220284	0.00116149	0.00116149	0.006200153	0.006792561	0.0002094694	0.0002309006	0.005879911	0.002202837	0.327806	0.130838	0.003063	0.493946	0.0421106	0.00223673	0.0679767	0.0646344	0.079321	0.0993103	0.0944274	0.115884	-2.68859	-2.73901	-2.53425	0.379084
430	-6266.419	-6269.564	3.145016	0.00547368	0.00802005	0.0740874	0.0072552	0.0106303	0.0982006	-5.2078	-4.82581	-2.60251	0.2817669	0.001650291	0.00676967	0.000446074	0.00740466	0.00931091	0.000594065	0.00296247	0.00165029	0.00165029	0.006769668	0.007404662	0.0004460736	0.0005940646	0.009310909	0.002962474	0.255386	0.169953	0.0348422	0.268183	0.0605627	0.211073	0.0728277	0.0648182	0.13266	0.102656	0.0913663	0.186995	-2.61966	-2.73617	-2.01996	0.3432906
440	-6269.474	-6265	-4.474352	0.00486696	0.0208494	0.0104865	0.00359899	0.0154175	0.00775445	-5.32528	-3.87043	-4.55767	-0.3018182	0.00221346	0.005756	4.35895e-05	0.0120276	0.00833931	0.0014664	0.00473102	0.00221346	0.00221346	0.005755999	0.01202765	4.358948e-05	0.001466395	0.008339312	0.004731025	0.531129	0.123096	0.0138143	0.10633	0.196126	0.0295054	0.0724077	0.0736653	0.0900771	0.112273	0.114223	0.139671	-2.62544	-2.60822	-2.40709	0.4386249
450	-6265.394	-6273.243	7.849043	0.00156435	0.0692716	0.00535701	0.000981062	0.0434428	0.00335958	-6.46028	-2.66972	-5.22935	-0.4665903	0.0006562769	0.00984732	2.43722e-05	0.00498855	0.00656836	0.000139217	0.0023294	0.000656277	0.000656277	0.009847324	0.004988547	2.437224e-05	0.0001392173	0.006568363	0.002329401	0.48266	0.145102	0.0188301	0.286864	0.0238489	0.0426953	0.0693271	0.0733403	0.0834207	0.0982427	0.10393	0.118215	-2.66892	-2.61265	-2.48386	0.3486046
460	-6265.521	-6268.6	3.078934	0.00426516	0.050601	0.0124211	0.00108167	0.0128328	0.00315008	-5.45728	-2.98378	-4.38836	-1.37197	0.001522244	0.00673016	6.44867e-05	0.0091541	0.00728933	0.000243094	0.00362704	0.00152224	0.00152224	0.006730162	0.009154104	6.44867e-05	0.0002430941	0.007289329	0.003627045	0.0874177	0.0390374	0.0309495	0.445189	0.337229	0.0601773	0.0713775	0.0766747	0.107015	0.0896334	0.0962854	0.134386	-2.63977	-2.56818	-2.23478	0.227745
470	-6267.8	-6270.098	2.298067	0.00109238	0.0229221	0.0486482	0.000231857	0.00486518	0.0103255	-6.81939	-3.77565	-3.02314	-1.549999	0.001989178	0.00621735	0.00082941	0.0075395	0.00835916	0.000353353	0.00279544	0.00198918	0.00198918	0.006217354	0.007539497	0.0008294098	0.000353353	0.008359158	0.00279544	0.476364	0.280283	0.024163	0.093976	0.0552526	0.069961	0.0688734	0.0635354	0.0931583	0.104617	0.0965091	0.141506	-2.67548	-2.75616	-2.37346	0.4180395
