Iteration	Posterior	Likelihood	Prior	extinction[1]	extinction[2]	extinction[3]	extinction[4]	extinction[5]	extinction[6]	extinction_alpha[1]	extinction_alpha[2]	extinction_alpha[3]	extinction_beta	hidden_rate	Q[1]	Q[2]	Q[3]	Q[4]	Q[5]	Q[6]	R[1]	R[2]	rate_01	rate_02	rate_10	rate_12	rate_20	rate_21	rate_category_prior[1]	rate_category_prior[2]	rate_category_prior[3]	rate_category_prior[4]	rate_category_prior[5]	rate_category_prior[6]	speciation[1]	speciation[2]	speciation[3]	speciation[4]	speciation[5]	speciation[6]	speciation_alpha[1]	speciation_alpha[2]	speciation_alpha[3]	speciation_beta
300	-6559.158	-6571.927	12.76896	0.00501089	0.039793	0.0241093	0.00539377	0.0428336	0.0259514	-5.29614	-3.22406	-3.72516	0.07362964	0.0008236597	0.00285844	0.000299015	0.00720187	0.00299361	0.00051738	0.00162418	0.00082366	0.00082366	0.002858437	0.007201865	0.0002990149	0.0005173802	0.002993609	0.001624179	0.273427	0.16787	0.484444	0.0181784	0.0497051	0.00637558	0.0470379	0.0594935	0.0805916	0.0743654	0.0940573	0.127413	-3.0568	-2.82189	-2.51836	0.4580363
310	-6553.535	-6563.951	10.41636	0.00302117	0.0233774	0.0212029	0.00107802	0.00834162	0.00756568	-5.80211	-3.75598	-3.85362	-1.030514	0.0006441683	0.00523954	0.00024899	0.00381114	0.00443978	0.000331171	0.00228793	0.000644168	0.000644168	0.00523954	0.00381114	0.0002489899	0.0003311714	0.004439782	0.002287926	0.296897	0.109488	0.0666651	0.127215	0.158699	0.241035	0.0443701	0.0471384	0.0875764	0.0644962	0.0685202	0.127301	-3.11519	-3.05467	-2.43524	0.3740399
320	-6552.855	-6552.287	-0.5683137	0.00146553	0.0374361	0.114453	0.00153397	0.0391844	0.119798	-6.52554	-3.28512	-2.16759	0.0456426	0.001838122	0.00512441	8.04024e-05	0.00659223	0.00578406	7.75371e-05	0.00291473	0.00183812	0.00183812	0.005124413	0.006592228	8.040239e-05	7.753713e-05	0.005784061	0.002914732	0.414874	0.0954778	0.415478	0.0116121	0.0169766	0.0455815	0.0416298	0.061025	0.110709	0.0623848	0.0914496	0.165904	-3.17894	-2.79647	-2.20085	0.4045046
330	-6553.934	-6562.03	8.095723	0.00240443	0.0120865	0.00533279	0.00173098	0.00870127	0.00383915	-6.03044	-4.41566	-5.23388	-0.3286244	0.001208242	0.00581043	3.98561e-05	0.00470074	0.00392611	7.95285e-05	0.00209874	0.00120824	0.00120824	0.005810434	0.004700737	3.98561e-05	7.952853e-05	0.003926105	0.002098737	0.157851	0.0300807	0.376653	0.36981	0.0219718	0.0436344	0.0447442	0.0414635	0.073453	0.0659098	0.0610773	0.108199	-3.10679	-3.18294	-2.61111	0.3873249
340	-6559.728	-6569.135	9.406746	0.00536724	0.00103742	0.0645652	0.00781121	0.00150981	0.0939648	-5.22744	-6.87102	-2.74008	0.375245	0.001029853	0.00423777	0.000311652	0.00385693	0.00563735	0.00102784	0.000857673	0.00102985	0.00102985	0.004237768	0.003856927	0.0003116521	0.001027844	0.005637347	0.0008576725	0.280219	0.223653	0.0963476	0.241558	0.150007	0.00821572	0.0451869	0.0351656	0.09327	0.0706436	0.0549767	0.145815	-3.09695	-3.34769	-2.37226	0.4468402
350	-6554.277	-6560.736	6.459437	0.0023223	0.0016408	0.0192198	0.00417589	0.00295044	0.0345605	-6.0652	-6.41257	-3.95181	0.5867702	0.0005096891	0.00416994	2.4731e-05	0.0060247	0.00487029	3.00219e-05	0.00249669	0.000509689	0.000509689	0.004169943	0.006024705	2.473104e-05	3.00219e-05	0.004870293	0.002496686	0.425612	0.144878	0.168677	0.0166734	0.126018	0.118141	0.0453609	0.0516538	0.0898924	0.0832854	0.0948395	0.165048	-3.0931	-2.96319	-2.40914	0.6076217
360	-6552.973	-6552.775	-0.1982646	0.000827504	0.0412824	0.0652821	0.000848385	0.0423241	0.0669294	-7.0971	-3.18732	-2.72904	0.02492044	0.0006630492	0.00541038	5.50191e-05	0.00439619	0.00610365	0.000367796	0.00496252	0.000663049	0.000663049	0.005410379	0.004396192	5.501907e-05	0.0003677965	0.00610365	0.004962522	0.439342	0.00471431	0.008736	0.230722	0.0644817	0.252004	0.0406401	0.0526056	0.0816034	0.0640489	0.0829064	0.128607	-3.203	-2.94493	-2.50588	0.45489
370	-6555.089	-6567.877	12.78772	0.00689306	0.0227193	0.0231838	0.00274958	0.00906251	0.00924782	-4.97724	-3.78454	-3.7643	-0.9190676	0.0008024909	0.0055406	0.000106667	0.00284219	0.00454771	0.000459207	0.00188511	0.000802491	0.000802491	0.005540599	0.002842187	0.0001066666	0.0004592074	0.004547714	0.001885113	0.339268	0.108117	0.175364	0.0337928	0.0607471	0.282712	0.04597	0.0491195	0.0881173	0.0653576	0.0698353	0.12528	-3.07977	-3.0135	-2.42909	0.3518836
380	-6557.819	-6564.993	7.173518	0.000519496	0.034825	0.072993	0.000490118	0.0328555	0.0688651	-7.56265	-3.35742	-2.61739	-0.05821419	0.0009712388	0.00511128	0.000249925	0.00500017	0.00426144	0.000798039	0.00169051	0.000971239	0.000971239	0.005111277	0.005000168	0.0002499247	0.0007980388	0.004261436	0.001690514	0.464954	0.113084	0.0545193	0.00302097	0.1783	0.186122	0.0425194	0.0595079	0.0763729	0.067003	0.0937737	0.12035	-3.15779	-2.82165	-2.57213	0.4547753
390	-6556.3	-6565.815	9.515142	0.0012796	0.0155211	0.0169456	0.000649874	0.00788275	0.00860621	-6.66121	-4.16556	-4.07775	-0.677523	0.0008660796	0.00466292	6.72405e-06	0.00367123	0.00430288	0.00075687	0.00267442	0.00086608	0.00086608	0.004662917	0.003671232	6.724046e-06	0.0007568698	0.004302882	0.002674419	0.0774901	0.265467	0.249687	0.00233981	0.322512	0.0825043	0.0473393	0.0569272	0.0776467	0.103616	0.124602	0.169952	-3.05042	-2.86598	-2.55559	0.7833482
