Iteration	Posterior	Likelihood	Prior	speciation[1]	speciation[2]	speciation[3]	speciation[4]	speciation[5]	speciation[6]	speciation[7]	speciation[8]	speciation[9]	speciation[10]	speciation[11]	speciation[12]	speciation[13]	speciation[14]	speciation[15]	speciation[16]	speciation[17]	speciation[18]	speciation[19]	speciation[20]
730	-6162.102	-6155.931	-6.170761	0.0348497	0.0199116	0.0264235	0.0336287	0.0289802	0.0294998	0.0479545	0.0489606	0.0491809	0.0448025	0.0497635	0.0492028	0.0492026	0.0644497	0.062823	0.0653433	0.0774347	0.0775841	0.0608543	0.0567743
740	-6172.04	-6153.71	-18.32987	0.0297558	0.0216769	0.0235719	0.0254042	0.0246506	0.0396534	0.0409092	0.0423598	0.0428355	0.0414007	0.0400244	0.03965	0.0391975	0.0776352	0.076461	0.0790534	0.0897318	0.127524	0.131547	0.131708
750	-6192.419	-6151.657	-40.76268	0.0305384	0.0235428	0.023888	0.0309562	0.0312115	0.0362469	0.0370114	0.0382986	0.038627	0.0388404	0.0379978	0.0379917	0.0365631	0.0624147	0.0627784	0.0627858	0.063563	0.189545	0.190275	0.191402
760	-6233.998	-6150.087	-83.91041	0.0325589	0.0209904	0.0227095	0.0332398	0.0333248	0.0412206	0.043655	0.0458408	0.0454689	0.0451828	0.0444932	0.0445627	0.0441485	0.0617098	0.0568358	0.0570478	0.062004	0.0972215	0.0979443	0.0981013
770	-6223.232	-6149.029	-74.20297	0.0381319	0.0232617	0.0231122	0.0349115	0.0360684	0.0378629	0.0373752	0.0453221	0.0452025	0.0444607	0.0442626	0.0461953	0.0462698	0.0762781	0.0764474	0.0753679	0.080052	0.0861234	0.0841449	0.0852218
780	-6223.223	-6151.804	-71.41889	0.037443	0.0278529	0.0293259	0.0324138	0.0338914	0.0389719	0.0399422	0.0453769	0.0461902	0.0451876	0.0452681	0.0451561	0.050973	0.0884012	0.0882894	0.0904774	0.104472	0.118231	0.135822	0.136812
790	-6206.037	-6154.581	-51.45535	0.0348495	0.02679	0.0266107	0.0305727	0.0330309	0.0353088	0.0327443	0.0348323	0.0367475	0.0367166	0.0366728	0.0369892	0.0393082	0.0569048	0.0632345	0.0667772	0.0648876	0.19563	0.230456	0.253562
800	-6181.915	-6153.628	-28.28738	0.0295177	0.0210119	0.0219345	0.0333272	0.0336985	0.0387122	0.0316787	0.0346349	0.0395232	0.0373903	0.0375684	0.0360198	0.046255	0.0719105	0.092169	0.0907769	0.0884725	0.116759	0.0713483	0.0874525
810	-6162.451	-6148.936	-13.51573	0.0418173	0.024102	0.0229885	0.0349018	0.039296	0.0401298	0.0362577	0.046169	0.0500977	0.0481151	0.0476847	0.047113	0.0540691	0.0847121	0.0864635	0.0853238	0.0932639	0.139162	0.0896704	0.0976819
820	-6161.616	-6151.594	-10.02171	0.0352214	0.0209835	0.0205273	0.0305907	0.0326221	0.0346011	0.0323449	0.0407846	0.0427826	0.0362438	0.0367367	0.0365546	0.0381594	0.0430016	0.045728	0.0467465	0.0483098	0.117929	0.117933	0.120244
830	-6180.12	-6149.997	-30.12288	0.0324728	0.0193448	0.0186605	0.0287736	0.0328717	0.0321752	0.0324983	0.0410453	0.045021	0.0418939	0.0413538	0.0413928	0.0451902	0.0493945	0.0492705	0.0503265	0.0526482	0.200285	0.190109	0.184276
840	-6211.097	-6150.89	-60.20709	0.0426335	0.0205192	0.0202939	0.0315804	0.0345474	0.0341862	0.0351129	0.0508856	0.0545338	0.0533661	0.0542197	0.0460959	0.0631349	0.0710606	0.0876724	0.0929518	0.112784	0.124359	0.138191	0.141319
850	-6175.253	-6151.915	-23.33867	0.0318456	0.0217755	0.0219367	0.0325511	0.0362475	0.0379621	0.0401182	0.0490474	0.0547782	0.0492263	0.0447902	0.0496873	0.0564212	0.0748184	0.0802956	0.0773614	0.0839524	0.0856344	0.0907576	0.0827764
860	-6134.46	-6153.307	18.84675	0.0322082	0.0240677	0.0238836	0.0283891	0.0332171	0.0391031	0.0354437	0.039005	0.0384998	0.0341967	0.0378857	0.0395977	0.0402892	0.0429813	0.0618666	0.0638248	0.0735138	0.0761084	0.077155	0.0721241
870	-6169.499	-6151.431	-18.0679	0.0358055	0.0226668	0.0225362	0.0390022	0.0423168	0.0424254	0.0318438	0.0509032	0.0534421	0.051631	0.0610655	0.0606682	0.0601138	0.0658405	0.0764422	0.0925405	0.115029	0.125108	0.12776	0.109331
880	-6148.273	-6154.194	5.921533	0.0317663	0.0225432	0.0236364	0.0315863	0.0358609	0.0375665	0.0348846	0.0403477	0.0378192	0.0395764	0.0459018	0.0484145	0.0477938	0.0438826	0.0631932	0.0646	0.0637197	0.0632383	0.0596863	0.0585573
890	-6141.258	-6156.247	14.98956	0.0302993	0.0232555	0.0233072	0.0264423	0.0276631	0.0334221	0.0334117	0.0417016	0.0525425	0.0459001	0.0492566	0.0476869	0.0480066	0.0459809	0.0474896	0.0583864	0.0574497	0.0557209	0.0403478	0.03428
900	-6160.888	-6153.1	-7.787216	0.0296819	0.0224918	0.0223944	0.033576	0.0333795	0.0334104	0.0308479	0.0415649	0.0413099	0.038863	0.0400712	0.0373485	0.0508955	0.0522026	0.0559781	0.0570188	0.074538	0.079393	0.221227	0.229189
