Iteration	Posterior	Likelihood	Prior	extinction[1]	extinction[2]	extinction[3]	extinction[4]	extinction[5]	extinction[6]	extinction[7]	extinction[8]	extinction[9]	extinction[10]	extinction[11]	extinction[12]	extinction[13]	extinction[14]	extinction[15]	extinction[16]	extinction[17]	extinction[18]	extinction[19]	extinction[20]
540	-5929.844	-5871.312	-58.53171	0.00262352	0.00254284	0.00227035	0.00227396	0.00236832	0.00460089	0.00460851	0.00440069	0.00434299	0.0036862	0.00385079	0.00393381	0.0044088	0.000869741	0.000855766	0.000837395	0.000817472	0.000815362	0.000311877	4.6991e-05
550	-5894.707	-5873.695	-21.01191	8.3043e-05	8.1678e-05	8.24563e-05	8.26288e-05	4.23636e-05	4.13536e-05	3.54288e-05	3.40442e-05	3.44636e-05	3.14122e-05	3.13166e-05	2.88573e-05	3.07076e-05	2.96852e-05	3.01724e-05	3.03853e-05	3.05019e-05	3.01446e-05	3.18168e-05	3.15554e-05
560	-5850.474	-5870.562	20.08809	0.000961922	0.000961787	0.000968709	0.00103107	0.00103024	0.00102925	0.00102987	0.00102894	0.00102935	0.00104123	0.00104688	0.00102295	0.00101751	0.00102501	0.00106403	0.00106353	0.00106093	0.000924644	0.000923884	0.000928854
570	-5874.165	-5875.191	1.026435	0.0080702	0.00684178	0.00682399	0.00724315	0.00695239	0.00694714	0.00695743	0.00710802	0.00728929	0.00734138	0.00731416	0.00797045	0.00793842	0.00803179	0.00805436	0.00702356	0.00705366	0.00701299	0.00688348	0.00681397
580	-5862.122	-5871.923	9.800972	7.02177e-05	7.04773e-05	7.08881e-05	6.98457e-05	7.34409e-05	7.33291e-05	6.96572e-05	7.18057e-05	7.21647e-05	7.2303e-05	7.29593e-05	7.28101e-05	7.44717e-05	7.39754e-05	7.34101e-05	7.3853e-05	6.58507e-05	6.49519e-05	6.55981e-05	6.51872e-05
590	-5854.271	-5874.597	20.32593	0.000975035	0.000959301	0.00095584	0.000923491	0.000920892	0.000920517	0.000873525	0.000884041	0.000857947	0.000789201	0.000787289	0.000800208	0.00079802	0.000782017	0.000787005	0.000788872	0.000791838	0.00078126	0.000774181	0.000757452
600	-5875.442	-5871.848	-3.594263	0.00942066	0.00827348	0.00826488	0.00860493	0.00731408	0.00728492	0.00731418	0.00972869	0.0105414	0.0106082	0.0107397	0.0107401	0.0351674	0.0355306	0.0350734	0.0332317	0.0336941	0.0337047	0.0336907	0.0339567
610	-5884.999	-5871.635	-13.36409	0.00012446	0.000118665	0.000120382	0.000131864	0.000322681	0.000611508	0.000607022	0.00049409	0.000511272	0.00042182	0.000425379	0.000420799	0.000431242	0.000411545	0.000401909	0.000386499	0.000436633	0.000438338	0.000428816	0.000427093
620	-5878.604	-5868.828	-9.77637	0.000306071	0.00030176	0.000295773	0.000296843	0.000310979	0.000330834	0.00033061	0.000311764	0.000311551	0.000396448	0.000397655	0.000407606	0.000399159	0.000617738	0.000640983	0.000614727	0.000614827	0.00060698	0.000596633	0.000323154
630	-5899.69	-5869.546	-30.14338	0.000115743	0.000117731	7.56328e-06	7.50875e-06	7.64721e-06	8.83988e-06	9.03712e-06	9.13933e-06	9.49385e-06	1.19521e-05	1.01513e-05	1.03304e-05	1.03555e-05	9.38657e-06	9.54533e-06	1.26833e-06	1.29343e-06	1.44949e-06	1.44899e-06	1.45494e-06
640	-5900.738	-5872.694	-28.04438	0.000988148	0.00102515	0.00100154	0.00106205	0.00106694	0.00104223	0.00110173	0.00110171	0.0011001	0.000961914	0.000964173	0.000979337	0.000974689	0.000965184	0.000919136	0.000912102	0.000911297	0.000919161	0.000948261	0.00122632
650	-5907.574	-5876.367	-31.20711	0.000109658	0.000106961	2.65534e-10	2.67285e-10	2.67825e-10	2.46148e-10	2.48453e-10	2.36606e-10	2.34862e-10	2.62837e-10	2.6247e-10	2.76802e-10	2.38186e-10	2.60743e-10	2.64956e-10	2.6352e-10	2.70546e-10	2.7704e-10	2.7646e-10	3.55887e-10
660	-5924.602	-5873.065	-51.53729	0.00427891	0.00434982	3.16117e-06	3.66767e-06	3.4741e-06	3.51376e-06	3.62679e-06	4.54763e-06	4.66678e-06	4.25831e-06	4.32049e-06	4.34856e-06	5.1503e-06	5.31369e-06	5.59914e-06	1.27462e-05	1.3131e-05	1.29377e-05	2.03916e-05	2.05027e-05
670	-5881.385	-5875.158	-6.227283	0.00489789	0.00502587	0.00523992	0.00513668	0.00504639	0.00531466	0.00526619	0.0052465	0.0061029	0.00597944	0.00808051	0.00798257	0.00777358	0.00795515	0.00794284	0.00795439	0.00790629	0.00807611	0.00825657	0.00844689
680	-5912.505	-5870.416	-42.08912	6.44105e-05	6.8419e-05	6.20476e-05	4.82295e-05	4.28102e-05	3.19466e-05	3.6969e-05	3.51866e-05	3.26689e-05	1.22885e-05	1.15061e-05	1.13573e-05	1.16007e-05	1.16435e-05	1.22528e-05	1.20722e-05	1.20941e-05	1.22786e-05	9.8933e-06	1.20132e-05
690	-5964.848	-5870.017	-94.83119	7.27448e-05	6.80224e-05	7.14482e-05	2.08869e-05	9.70944e-05	2.92019e-05	7.12423e-06	1.19153e-07	1.01303e-07	1.02271e-07	1.0814e-07	9.66253e-05	0.000166554	0.000800164	0.000844063	0.00628884	0.00408183	0.00358613	0.00391665	0.00149022
700	-5961.243	-5867.777	-93.46661	4.85876e-05	0.00118438	0.00134403	0.00118784	0.00200103	0.00225504	0.00413445	0.00389012	0.00604145	0.00653943	0.00661372	0.0104408	0.0106773	0.00128155	0.00134428	0.00143951	0.00648195	5.14116e-16	2.50472e-16	2.61238e-16
710	-5861.492	-5873.35	11.8579	0.000178528	0.000178843	0.00017901	0.000174361	0.000173666	0.000173643	0.000173697	0.000172403	0.000173294	0.000181432	0.000182892	0.000187037	0.000192438	0.000192805	0.000195351	0.000200309	0.000194871	0.000192244	0.000186856	0.00019168
720	-5877.078	-5871.742	-5.335607	0.000102073	0.000106708	0.000107023	0.000104446	0.000104668	0.000104841	0.000117127	0.000117199	0.000119358	0.000138226	0.000138307	0.000139198	0.000200287	0.000200962	0.000200494	0.000200104	0.000201107	0.000202188	0.000200191	0.000202556
730	-5859.706	-5870.983	11.27775	0.000208758	0.000208939	0.00020885	0.000208964	0.000208645	0.000208628	0.000208825	0.000205628	0.000205081	0.000205695	0.000205382	0.000206189	0.000206427	0.000207454	0.00020778	0.000194369	0.000194648	0.000181426	0.000182345	0.000184255
740	-5883.621	-5871.942	-11.67891	8.7333e-05	8.77161e-05	8.77484e-05	8.5597e-05	8.87198e-05	8.98755e-05	7.4391e-05	7.24804e-05	7.62341e-05	7.61198e-05	7.76577e-05	7.76873e-05	7.83662e-05	7.24994e-05	7.20968e-05	7.06553e-05	9.0375e-05	8.77504e-05	8.79804e-05	8.76178e-05
750	-5893.41	-5870.291	-23.11875	6.0229e-05	5.63717e-05	5.59661e-05	5.99551e-05	5.95412e-05	5.70092e-05	5.37029e-05	5.0567e-05	4.91483e-05	4.92948e-05	4.95795e-05	4.99456e-05	4.97266e-05	4.89412e-05	4.4157e-05	4.63635e-05	4.56313e-05	4.56321e-05	4.20933e-05	4.2951e-05
760	-5868.855	-5869.54	0.6846325	0.00958737	0.00852921	0.00726725	0.00732545	0.00716979	0.00719855	0.00724381	0.00729911	0.00770542	0.00770657	0.00621684	0.00607802	0.00607921	0.00586155	0.00586047	0.00653183	0.00617591	0.00597286	0.00622934	0.00573065
770	-5877.154	-5870.454	-6.700002	0.00141701	0.00141481	0.00135868	0.00142538	0.00140952	0.0014171	0.00132165	0.00135604	0.00135778	0.00128621	0.00122695	0.00125348	0.00159857	0.00157469	0.00122602	0.00123131	0.00104178	0.00105963	0.00106774	0.00116348
780	-5957.105	-5871.885	-85.22009	0.00668181	0.00518925	0.00464256	8.53877e-22	5.23467e-22	6.32598e-22	1.21442e-21	1.50402e-24	5.73549e-25	5.27408e-25	2.89418e-25	1.25539e-25	1.1544e-25	1.227e-25	1.3752e-25	1.88983e-25	1.69417e-25	2.78536e-25	2.70954e-26	3.9235e-26
