Iteration	Posterior	Likelihood	Prior	speciation[1]	speciation[2]	speciation[3]	speciation[4]	speciation[5]	speciation[6]	speciation[7]	speciation[8]	speciation[9]	speciation[10]	speciation[11]	speciation[12]	speciation[13]	speciation[14]	speciation[15]	speciation[16]	speciation[17]	speciation[18]	speciation[19]	speciation[20]
630	-5899.69	-5869.546	-30.14338	0.0444134	0.0397213	0.0408118	0.0399866	0.0456232	0.0472733	0.0567567	0.0579366	0.0717313	0.0713127	0.0761752	0.074457	0.0738233	0.122617	0.124541	0.124506	0.188378	0.184376	0.185864	0.187435
640	-5900.738	-5872.694	-28.04438	0.043218	0.0457075	0.0462343	0.0452366	0.051808	0.0521286	0.0581589	0.0643991	0.0717259	0.0717611	0.0706402	0.0710513	0.0729135	0.125083	0.126034	0.124265	0.168474	0.164522	0.143019	0.146699
650	-5907.574	-5876.367	-31.20711	0.0393668	0.0398713	0.0399865	0.0391024	0.0558589	0.0497918	0.0593565	0.0624907	0.0671549	0.0669027	0.0676278	0.0733728	0.0728933	0.0821495	0.0786639	0.078554	0.085457	0.0864111	0.0867913	0.0983144
660	-5924.602	-5873.065	-51.53729	0.0409881	0.0357535	0.0465294	0.0463672	0.0473091	0.0489878	0.0535533	0.0615075	0.0755499	0.0817501	0.0707312	0.0712086	0.109602	0.111757	0.11601	0.122957	0.149996	0.149551	0.149393	0.152073
670	-5881.385	-5875.158	-6.227283	0.0359496	0.0327364	0.041897	0.0423337	0.042598	0.0645484	0.0724431	0.0741965	0.0745369	0.0712274	0.0694242	0.0693026	0.0732092	0.0750877	0.111368	0.118244	0.134733	0.135505	0.136722	0.147035
680	-5912.505	-5870.416	-42.08912	0.0361949	0.0362317	0.0400678	0.0392984	0.0429625	0.0512787	0.0520324	0.0656757	0.0658256	0.0649538	0.0623676	0.0625281	0.0652077	0.110716	0.0982073	0.0971039	0.198211	0.209543	0.200558	0.215772
690	-5964.848	-5870.017	-94.83119	0.0387319	0.0387381	0.0389787	0.0391317	0.055069	0.0572271	0.0556394	0.0702941	0.070551	0.069396	0.0700475	0.0676272	0.0726991	0.109181	0.108802	0.109223	0.119947	0.120886	0.121362	0.119371
700	-5961.243	-5867.777	-93.46661	0.0381222	0.0374202	0.0374171	0.0381511	0.0508093	0.0544477	0.0575348	0.0723778	0.071385	0.0685578	0.0668322	0.0547521	0.0535409	0.111875	0.119261	0.117294	0.125619	0.127853	0.125613	0.125526
710	-5861.492	-5873.35	11.8579	0.0392547	0.0400371	0.0383271	0.0363293	0.057449	0.0567273	0.0558275	0.0595654	0.0621573	0.062584	0.067175	0.0665168	0.0593008	0.100945	0.100919	0.101607	0.0902724	0.0875128	0.0865726	0.0864698
720	-5877.078	-5871.742	-5.335607	0.0433577	0.0434969	0.0414453	0.0356654	0.0436398	0.0526447	0.0525665	0.0505673	0.0596944	0.061102	0.061228	0.0590278	0.0624923	0.115619	0.115903	0.130143	0.129962	0.143052	0.14199	0.140878
