Iteration	Posterior	Likelihood	Prior	extinction[1]	extinction[2]	extinction[3]	extinction[4]	extinction[5]	extinction[6]	extinction[7]	extinction[8]	extinction[9]	extinction[10]	extinction[11]	extinction[12]	extinction[13]	extinction[14]	extinction[15]	extinction[16]	extinction[17]	extinction[18]	extinction[19]	extinction[20]
670	-6139.101	-6154.494	15.39215	0.00214418	0.00211751	0.00209339	0.00210781	0.00215457	0.00226304	0.00226212	0.00227568	0.00227558	0.00227933	0.00229584	0.00226759	0.00225648	0.00224194	0.0022464	0.00223781	0.00220781	0.00219435	0.00218634	0.00219997
680	-6147.957	-6154.056	6.099015	0.00442439	0.00434255	0.00433815	0.0043427	0.00476048	0.00476739	0.00466606	0.00467255	0.00458077	0.00459604	0.00458512	0.0047177	0.0043679	0.00451511	0.00443577	0.00402791	0.00403056	0.00401287	0.00400234	0.00400567
690	-6126.314	-6150	23.68618	0.00608087	0.00608897	0.00592978	0.00588369	0.00505536	0.00505413	0.00518047	0.00522446	0.00523005	0.00523554	0.00517324	0.00516763	0.00505526	0.00507151	0.00508079	0.00544151	0.00543638	0.00546851	0.00546528	0.00550688
700	-6165.244	-6149.833	-15.4111	0.00864853	0.00864645	0.00864693	0.00860056	0.0085019	0.00849849	0.00852508	0.00852439	0.00852488	0.00895552	0.00832282	0.00876098	0.00744701	0.0066819	0.00671916	0.00675738	0.00674624	0.00692061	0.00694772	0.00696185
710	-6189.842	-6155.323	-34.51845	0.000182352	0.000189209	0.000189716	0.000191792	0.000237734	0.000219331	0.0002206	0.000221759	0.000223956	7.15895e-05	7.16526e-05	7.22654e-05	7.47875e-05	7.12796e-05	6.05788e-05	5.96774e-05	5.9627e-05	2.36272e-05	2.52351e-05	2.6892e-05
720	-6164.2	-6152.059	-12.14071	0.000197593	0.000198144	0.000198092	0.000200226	0.000194833	0.000178833	0.000179512	0.000106945	0.000108508	0.000109189	0.000102249	0.000102518	0.000102363	0.000102275	9.76235e-05	9.80994e-05	0.000101794	0.000103037	9.9552e-05	9.96256e-05
730	-6162.102	-6155.931	-6.170761	0.00114101	0.0011623	0.00116172	0.00116535	0.00116337	0.0012388	0.0014818	0.00115867	0.00112508	0.00112728	0.00112525	0.00113084	0.00111653	0.00113002	0.00112101	0.000897329	0.00089156	0.000889036	0.000884069	0.000892737
740	-6172.04	-6153.71	-18.32987	0.000111186	0.000110325	0.000108951	0.000108261	0.000105341	0.000105306	0.000106636	0.000106815	0.000132716	0.000130155	0.000151177	0.000150656	0.000153515	0.00015394	0.00015344	0.00014102	0.000138278	0.00846678	0.00850951	0.00855556
750	-6192.419	-6151.657	-40.76268	0.000274106	0.000288276	0.000289823	0.000261794	0.000294475	0.000302294	0.000294944	0.000284492	0.000296358	0.000335388	0.000375047	0.000360774	0.000404633	0.000535941	0.000733691	0.000761053	0.000744471	0.000202624	0.000209894	0.000209682
760	-6233.998	-6150.087	-83.91041	0.0148484	0.00512228	0.00504233	0.00624059	0.00569204	0.00549119	7.36578e-06	7.41903e-06	4.98763e-06	3.63605e-06	3.13808e-06	3.92254e-05	4.19326e-05	4.6108e-05	7.41256e-05	7.22022e-05	9.52722e-05	3.12035e-05	3.76825e-05	3.55361e-05
