Iteration	Posterior	Likelihood	Prior	interval_times[1]	interval_times[2]	interval_times[3]	interval_times[4]	interval_times[5]	interval_times[6]	interval_times[7]	interval_times[8]	interval_times[9]	interval_times[10]	interval_times[11]	interval_times[12]	interval_times[13]	interval_times[14]	interval_times[15]	interval_times[16]	interval_times[17]	interval_times[18]	interval_times[19]
630	-5899.69	-5869.546	-30.14338	3.34409	6.68818	10.0323	13.3764	16.7205	20.0645	23.4086	26.7527	30.0968	33.4409	36.785	40.1291	43.4732	46.8173	50.1614	53.5055	56.8496	60.1936	63.5377
640	-5900.738	-5872.694	-28.04438	3.34409	6.68818	10.0323	13.3764	16.7205	20.0645	23.4086	26.7527	30.0968	33.4409	36.785	40.1291	43.4732	46.8173	50.1614	53.5055	56.8496	60.1936	63.5377
650	-5907.574	-5876.367	-31.20711	3.34409	6.68818	10.0323	13.3764	16.7205	20.0645	23.4086	26.7527	30.0968	33.4409	36.785	40.1291	43.4732	46.8173	50.1614	53.5055	56.8496	60.1936	63.5377
660	-5924.602	-5873.065	-51.53729	3.34409	6.68818	10.0323	13.3764	16.7205	20.0645	23.4086	26.7527	30.0968	33.4409	36.785	40.1291	43.4732	46.8173	50.1614	53.5055	56.8496	60.1936	63.5377
670	-5881.385	-5875.158	-6.227283	3.34409	6.68818	10.0323	13.3764	16.7205	20.0645	23.4086	26.7527	30.0968	33.4409	36.785	40.1291	43.4732	46.8173	50.1614	53.5055	56.8496	60.1936	63.5377
680	-5912.505	-5870.416	-42.08912	3.34409	6.68818	10.0323	13.3764	16.7205	20.0645	23.4086	26.7527	30.0968	33.4409	36.785	40.1291	43.4732	46.8173	50.1614	53.5055	56.8496	60.1936	63.5377
690	-5964.848	-5870.017	-94.83119	3.34409	6.68818	10.0323	13.3764	16.7205	20.0645	23.4086	26.7527	30.0968	33.4409	36.785	40.1291	43.4732	46.8173	50.1614	53.5055	56.8496	60.1936	63.5377
700	-5961.243	-5867.777	-93.46661	3.34409	6.68818	10.0323	13.3764	16.7205	20.0645	23.4086	26.7527	30.0968	33.4409	36.785	40.1291	43.4732	46.8173	50.1614	53.5055	56.8496	60.1936	63.5377
710	-5861.492	-5873.35	11.8579	3.34409	6.68818	10.0323	13.3764	16.7205	20.0645	23.4086	26.7527	30.0968	33.4409	36.785	40.1291	43.4732	46.8173	50.1614	53.5055	56.8496	60.1936	63.5377
720	-5877.078	-5871.742	-5.335607	3.34409	6.68818	10.0323	13.3764	16.7205	20.0645	23.4086	26.7527	30.0968	33.4409	36.785	40.1291	43.4732	46.8173	50.1614	53.5055	56.8496	60.1936	63.5377
730	-5859.706	-5870.983	11.27775	3.34409	6.68818	10.0323	13.3764	16.7205	20.0645	23.4086	26.7527	30.0968	33.4409	36.785	40.1291	43.4732	46.8173	50.1614	53.5055	56.8496	60.1936	63.5377
740	-5883.621	-5871.942	-11.67891	3.34409	6.68818	10.0323	13.3764	16.7205	20.0645	23.4086	26.7527	30.0968	33.4409	36.785	40.1291	43.4732	46.8173	50.1614	53.5055	56.8496	60.1936	63.5377
750	-5893.41	-5870.291	-23.11875	3.34409	6.68818	10.0323	13.3764	16.7205	20.0645	23.4086	26.7527	30.0968	33.4409	36.785	40.1291	43.4732	46.8173	50.1614	53.5055	56.8496	60.1936	63.5377
760	-5868.855	-5869.54	0.6846325	3.34409	6.68818	10.0323	13.3764	16.7205	20.0645	23.4086	26.7527	30.0968	33.4409	36.785	40.1291	43.4732	46.8173	50.1614	53.5055	56.8496	60.1936	63.5377
770	-5877.154	-5870.454	-6.700002	3.34409	6.68818	10.0323	13.3764	16.7205	20.0645	23.4086	26.7527	30.0968	33.4409	36.785	40.1291	43.4732	46.8173	50.1614	53.5055	56.8496	60.1936	63.5377
780	-5957.105	-5871.885	-85.22009	3.34409	6.68818	10.0323	13.3764	16.7205	20.0645	23.4086	26.7527	30.0968	33.4409	36.785	40.1291	43.4732	46.8173	50.1614	53.5055	56.8496	60.1936	63.5377
790	-5916.957	-5873.751	-43.20568	3.34409	6.68818	10.0323	13.3764	16.7205	20.0645	23.4086	26.7527	30.0968	33.4409	36.785	40.1291	43.4732	46.8173	50.1614	53.5055	56.8496	60.1936	63.5377
800	-5923.333	-5869.431	-53.90204	3.34409	6.68818	10.0323	13.3764	16.7205	20.0645	23.4086	26.7527	30.0968	33.4409	36.785	40.1291	43.4732	46.8173	50.1614	53.5055	56.8496	60.1936	63.5377
810	-5877.813	-5868.468	-9.345141	3.34409	6.68818	10.0323	13.3764	16.7205	20.0645	23.4086	26.7527	30.0968	33.4409	36.785	40.1291	43.4732	46.8173	50.1614	53.5055	56.8496	60.1936	63.5377
820	-5878.604	-5869.488	-9.116478	3.34409	6.68818	10.0323	13.3764	16.7205	20.0645	23.4086	26.7527	30.0968	33.4409	36.785	40.1291	43.4732	46.8173	50.1614	53.5055	56.8496	60.1936	63.5377
830	-5861.891	-5870.386	8.494578	3.34409	6.68818	10.0323	13.3764	16.7205	20.0645	23.4086	26.7527	30.0968	33.4409	36.785	40.1291	43.4732	46.8173	50.1614	53.5055	56.8496	60.1936	63.5377
840	-5882.696	-5872.442	-10.25381	3.34409	6.68818	10.0323	13.3764	16.7205	20.0645	23.4086	26.7527	30.0968	33.4409	36.785	40.1291	43.4732	46.8173	50.1614	53.5055	56.8496	60.1936	63.5377
850	-5866.622	-5871.271	4.649426	3.34409	6.68818	10.0323	13.3764	16.7205	20.0645	23.4086	26.7527	30.0968	33.4409	36.785	40.1291	43.4732	46.8173	50.1614	53.5055	56.8496	60.1936	63.5377
860	-5824.818	-5871.551	46.73252	3.34409	6.68818	10.0323	13.3764	16.7205	20.0645	23.4086	26.7527	30.0968	33.4409	36.785	40.1291	43.4732	46.8173	50.1614	53.5055	56.8496	60.1936	63.5377
870	-5854.085	-5872.058	17.97254	3.34409	6.68818	10.0323	13.3764	16.7205	20.0645	23.4086	26.7527	30.0968	33.4409	36.785	40.1291	43.4732	46.8173	50.1614	53.5055	56.8496	60.1936	63.5377
880	-5872	-5872.939	0.9391641	3.34409	6.68818	10.0323	13.3764	16.7205	20.0645	23.4086	26.7527	30.0968	33.4409	36.785	40.1291	43.4732	46.8173	50.1614	53.5055	56.8496	60.1936	63.5377
890	-5888.572	-5873.434	-15.13706	3.34409	6.68818	10.0323	13.3764	16.7205	20.0645	23.4086	26.7527	30.0968	33.4409	36.785	40.1291	43.4732	46.8173	50.1614	53.5055	56.8496	60.1936	63.5377
900	-5857.177	-5872.575	15.39821	3.34409	6.68818	10.0323	13.3764	16.7205	20.0645	23.4086	26.7527	30.0968	33.4409	36.785	40.1291	43.4732	46.8173	50.1614	53.5055	56.8496	60.1936	63.5377
910	-5900.025	-5872.64	-27.38559	3.34409	6.68818	10.0323	13.3764	16.7205	20.0645	23.4086	26.7527	30.0968	33.4409	36.785	40.1291	43.4732	46.8173	50.1614	53.5055	56.8496	60.1936	63.5377
920	-5877.825	-5876.567	-1.258676	3.34409	6.68818	10.0323	13.3764	16.7205	20.0645	23.4086	26.7527	30.0968	33.4409	36.785	40.1291	43.4732	46.8173	50.1614	53.5055	56.8496	60.1936	63.5377
930	-5829.842	-5870.673	40.83052	3.34409	6.68818	10.0323	13.3764	16.7205	20.0645	23.4086	26.7527	30.0968	33.4409	36.785	40.1291	43.4732	46.8173	50.1614	53.5055	56.8496	60.1936	63.5377
940	-5865.299	-5873.269	7.970145	3.34409	6.68818	10.0323	13.3764	16.7205	20.0645	23.4086	26.7527	30.0968	33.4409	36.785	40.1291	43.4732	46.8173	50.1614	53.5055	56.8496	60.1936	63.5377
950	-5870.256	-5876.607	6.351585	3.34409	6.68818	10.0323	13.3764	16.7205	20.0645	23.4086	26.7527	30.0968	33.4409	36.785	40.1291	43.4732	46.8173	50.1614	53.5055	56.8496	60.1936	63.5377
960	-5805.631	-5877.55	71.91898	3.34409	6.68818	10.0323	13.3764	16.7205	20.0645	23.4086	26.7527	30.0968	33.4409	36.785	40.1291	43.4732	46.8173	50.1614	53.5055	56.8496	60.1936	63.5377
970	-5875.623	-5874.984	-0.6388123	3.34409	6.68818	10.0323	13.3764	16.7205	20.0645	23.4086	26.7527	30.0968	33.4409	36.785	40.1291	43.4732	46.8173	50.1614	53.5055	56.8496	60.1936	63.5377
980	-5871.947	-5871.331	-0.6152941	3.34409	6.68818	10.0323	13.3764	16.7205	20.0645	23.4086	26.7527	30.0968	33.4409	36.785	40.1291	43.4732	46.8173	50.1614	53.5055	56.8496	60.1936	63.5377
